Case #,I0,PA500,HFS,DA,Area,A/DA,Max IP,DR,P,Class
85,69,41,32,87,5,16,17,47,17,6
86,47,34,75,0,11,37,82,61,61,6
87,4,9,98,13,32,93,70,51,85,6
88,37,74,48,66,57,77,35,43,0,6
89,64,46,28,11,67,40,21,67,97,6
90,22,95,100,67,6,76,16,9,97,6
91,70,58,14,53,87,84,73,2,41,6
92,67,89,58,43,44,9,83,31,67,6
93,36,2,46,32,7,53,5,1,28,6
94,14,84,15,41,18,38,64,100,52,6
95,96,76,54,21,28,63,83,37,17,6
96,71,23,4,67,41,89,80,39,46,6
97,25,50,15,8,11,58,28,93,25,6
98,8,33,59,39,24,87,81,55,17,6
99,87,30,25,4,58,99,40,9,33,6
100,6,29,41,17,85,88,4,59,97,6
101,88,41,32,5,52,85,11,99,64,6
102,99,27,68,23,73,87,41,6,60,6
103,92,23,92,25,84,0,76,68,88,6
104,77,82,3,100,60,4,28,45,3,6
105,9,96,86,24,3,14,53,79,60,6
106,37,72,6,92,31,27,20,18,13,6
